drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Estradiol,346,2765,154,8093,6.57480733297544,2.01881418632574E-88,3.74961239280937E-84
Tretinoin,319,2544,181,8314,5.75865276434884,1.11651289660508E-77,1.03686872774095E-73
Hydrogen peroxide,306,2459,194,8399,5.38649119857706,4.75660680448014E-72,2.94486931034513E-68
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",202,1003,298,9855,6.65778346031378,9.10078451142832E-72,4.22579931073869E-68
Simvastatin,263,1817,237,9041,5.52051207942352,1.41592755331065E-70,5.2597010038617E-67
Sirolimus,260,1823,240,9035,5.36805912630345,3.17771032357048E-68,9.83678280937115E-65
Ethanol,292,2362,208,8496,5.04862870252331,1.64559687093267E-66,4.3663187900896E-63
Genistein,247,1684,253,9174,5.31746179060718,6.47418630143413E-66,1.50309085858689E-62
Aldosterone,198,1075,302,9783,5.9646520847529,2.99648137702355E-64,6.18385220735225E-61
Metformin,245,1693,255,9165,5.20014905063715,3.85010419792893E-64,7.15092974477065E-61
Sorafenib,204,1154,296,9704,5.79474922285251,7.35587126697472E-64,1.24202821858948E-60
Epigallocatechin Gallate,256,1870,244,8988,5.04187982731781,2.0896124271654E-63,3.2342569820356E-60
Calcitriol,252,1835,248,9023,4.9955861639051,2.53418029394511E-62,3.62063033001945E-59
Doxorubicin,238,1633,262,9225,5.13062675574289,2.75832541132411E-62,3.65937985340848E-59
Gefitinib,173,823,327,10035,6.44906406519815,2.99151644909873E-62,3.70416363784616E-59
Progesterone,247,1788,253,9070,4.95152808589398,3.90270056761229E-61,4.5303867342221E-58
Resveratrol,297,2594,203,8264,4.66057460364262,7.3868436680856E-61,8.07049205921092E-58
Troglitazone,215,1357,285,9501,5.28062001864724,1.98394445884717E-60,2.04713758863616E-57
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",169,818,331,10040,6.26571214168548,1.20107504218404E-59,1.15903999434796E-56
Etoposide,171,840,329,10018,6.19594673319172,1.2480684070683E-59,1.15903999434796E-56
Imatinib,188,1053,312,9805,5.60872655583712,1.66747944518877E-58,1.47479352572529E-55
Palmitic Acid,230,1609,270,9249,4.89579928199405,3.69379113633785E-58,3.11845644003105E-55
ATP,231,1626,269,9232,4.87480046435511,4.95886821810443E-58,4.00446736868056E-55
Cyclic Adenosine Monophosphate,240,1767,260,9091,4.74833762881303,1.49145556197298E-57,1.15422135272483E-54
Propofol,162,780,338,10078,6.19126844926773,4.04297537121645E-57,3.00366237931523E-54
Ponatinib,168,848,332,10010,5.97115517171362,6.0254982109267E-57,4.304370456215E-54
Berberine,179,985,321,9873,5.58786556460094,3.03062644931465E-56,2.0847725159645E-53
Quercetin,230,1653,270,9205,4.74287684021378,3.46902122353497E-56,2.30111833874532E-53
Testosterone,220,1517,280,9341,4.83718480402315,5.97699023689523E-56,3.82802333543376E-53
Acetylcysteine,156,735,344,10123,6.24387588254822,7.72515679574133E-56,4.78273233430929E-53
Decitabine,189,1113,311,9745,5.31962886726351,8.09996760601377E-56,4.8530148048461E-53
LY-294002,228,1645,272,9213,4.69385303172151,2.82201525428087E-55,1.63794534710977E-52
Celecoxib,184,1065,316,9793,5.35288824909469,4.3205517457447E-55,2.43172969968608E-52
Fenretinide,140,586,360,10272,6.81423699884036,6.67893139104333E-55,3.64853144167048E-52
Pioglitazone,189,1134,311,9724,5.20990047807119,1.09971832220093E-54,5.83584091444012E-52
Lithium,170,909,330,9949,5.63761590571016,1.50465703035111E-54,7.76291884357309E-52
Bortezomib,174,957,326,9901,5.52057425065753,1.89219683273075E-54,9.49849099093871E-52
Tacrolimus,191,1168,309,9690,5.12690138274699,3.25050087650404E-54,1.58875422642351E-51
Indomethacin,194,1212,306,9646,5.04461221826793,6.51856397547992E-54,3.10439770132445E-51
Isoprenaline,168,906,332,9952,5.5564449805501,2.37738031346708E-53,1.1038973703198E-50
Lovastatin,185,1113,315,9745,5.1409674451973,3.73820271476458E-53,1.6934369039758E-50
Vitamin E,161,831,339,10027,5.72881221736857,4.3314394291684E-53,1.91545954153745E-50
