drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Calcitriol,71,339,32,3739,24.4442901219734,2.09617837286359E-49,3.03274415681959E-45
Doxorubicin,66,270,37,3808,25.1170446200453,1.06726492758438E-48,7.72057739649396E-45
Tretinoin,76,444,27,3634,23.0011017163307,2.22687486844515E-48,8.84849560753988E-45
Troglitazone,66,274,37,3804,24.7289214430594,2.44636859105908E-48,8.84849560753988E-45
Resveratrol,81,566,22,3512,22.830209340959,1.60249567342291E-47,4.63697121658861E-44
Genistein,67,322,36,3756,21.6802929200912,1.29624381076753E-45,3.12566899030036E-42
Simvastatin,67,330,36,3748,21.1003325713186,5.35289753137325E-45,1.1063650008092E-41
Sorafenib,57,202,46,3876,23.7215885882759,1.18345569127258E-43,2.1402748801255E-40
Sirolimus,66,335,37,3743,19.8967431979765,2.17932047593103E-43,3.50337098363762E-40
Progesterone,71,425,32,3653,19.0431630354256,2.43691894676092E-43,3.52572652790797E-40
Estradiol,77,559,26,3519,18.6204117433745,6.96717239116196E-43,9.16371154824525E-40
Imatinib,54,176,49,3902,24.372645940672,1.33842554601797E-42,1.61369149471082E-39
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",52,157,51,3921,25.3973203151315,3.28361869569091E-42,3.65440693314811E-39
Afimoxifene,49,127,54,3951,28.1365994067851,4.20849369015285E-42,4.34916799511104E-39
Epigallocatechin Gallate,68,395,35,3683,18.0884678910977,1.17844470385837E-41,1.13664668237151E-38
Vorinostat,52,168,51,3910,23.6717878810081,6.0110268228588E-41,5.43545897307364E-38
Hydrogen peroxide,75,553,28,3525,17.053105150857,8.29095654152194E-41,7.05607610139649E-38
Bortezomib,55,210,48,3868,21.0599333184426,2.32461150938465E-40,1.86846693732114E-37
LY-294002,59,270,44,3808,18.8803906801188,6.05980841876989E-40,4.61437442824119E-37
Palmitic Acid,61,312,42,3766,17.5019160359908,4.31090943663165E-39,3.11850498358659E-36
Fenofibrate,53,200,50,3878,20.5134078610623,7.09118276722155E-39,4.88547643714661E-36
Quercetin,65,397,38,3681,15.8398952823226,4.890164699868E-38,3.21594301225034E-35
Nicotine,65,409,38,3669,15.3237946235779,2.60089187446239E-37,1.63607044981781E-34
Butyric Acid,53,220,50,3858,18.5483298489244,4.93425353382712E-37,2.97452592113655E-34
Acetylsalicylic acid,58,293,45,3785,16.6213184211447,5.289167631429E-37,3.06094031620838E-34
Triptolide,47,151,56,3927,21.7740824849091,1.29904906744646E-36,7.22869242522852E-34
Metformin,59,327,44,3751,15.3620968803127,9.35188303978576E-36,5.01121275275212E-33
Zinc,49,185,54,3893,19.0542309652726,1.62184839850545E-35,8.38030381773701E-33
Cyclic Adenosine Monophosphate,60,351,43,3727,14.7949105029518,2.6516390479982E-35,1.32289064921864E-32
Ethanol,71,575,32,3503,13.5027132513364,3.28021697347474E-35,1.58193580409475E-32
Sunitinib,42,112,61,3966,24.3217029014095,4.1552115568724E-35,1.93927315269743E-32
Etoposide,44,133,59,3945,22.0642381161414,5.49188705924437E-35,2.48301394046016E-32
Lithium,47,167,56,3911,19.6116153749777,6.5015845527343E-35,2.85044597257089E-32
Celecoxib,49,193,54,3885,18.2346789631666,9.16843360006569E-35,3.78996010586944E-32
Apigenin,49,193,54,3885,18.2346789631666,9.16843360006569E-35,3.78996010586944E-32
Cisplatin,57,309,46,3769,15.0901172801627,9.64220635331573E-35,3.87508702018932E-32
Indole-3-carbinol,41,112,62,3966,23.3519206855762,7.37483582972766E-34,2.88375374606459E-31
Gefitinib,46,168,57,3910,18.741680758941,1.25101930260624E-33,4.76308084369623E-31
Berberine,49,206,54,3872,17.0192798711617,1.32902829041179E-33,4.93034326753026E-31
Melatonin,52,249,51,3829,15.6484405996416,1.67708145242662E-33,6.06599018623729E-31
Bexarotene,36,73,67,4005,29.3503001046993,3.67576959700833E-33,1.2970955320122E-30
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",44,150,59,3928,19.4849568974665,4.23853365608895E-33,1.46007069515914E-30
Zinc sulfate,37,86,66,3992,25.9537933939674,2.06020164636403E-32,6.93184452124648E-30
Tanespimycin,41,129,62,3949,20.1947804077557,8.18542329839377E-32,2.69151004867905E-29
Decitabine,49,232,54,3846,15.010108098219,1.76857259310545E-31,5.68614480850542E-29
Deoxycholic Acid,37,94,66,3984,23.6881042652413,2.8179779809597E-31,8.86313373530454E-29
Geldanamycin,39,115,64,3963,20.9458318026428,4.84952057601097E-31,1.4928235827059E-28
Paclitaxel,49,242,54,3836,14.3596472424057,1.00713768045059E-30,3.03567410563322E-28
Dinoprostone,42,151,61,3927,17.8675208736146,1.17718554068645E-30,3.47581279655637E-28
Indomethacin,50,261,53,3817,13.7809715808318,1.96754593469378E-30,5.69327831444525E-28
Nitric Oxide,47,218,56,3860,14.8347600354017,2.25832284236775E-30,6.40653775691837E-28
Emodin,37,102,66,3976,21.7934713130328,3.18336163959568E-30,8.85707197193949E-28
Kaempherol,41,144,62,3934,18.0266619142243,3.31772133186899E-30,9.05673320358648E-28
Acetylcysteine,41,145,62,3933,17.8979432841966,4.19151879305822E-30,1.12301406785209E-27
Aldosterone,47,227,56,3851,14.2119555248105,1.11269373853957E-29,2.92698497727705E-27
Alvocidib,35,88,68,3990,23.268449472478,1.2589531560187E-29,3.25258820413113E-27
Fluorouracil,44,189,59,3889,15.3138236384728,1.95949058483435E-29,4.97365737340943E-27
Bleomycin,37,110,66,3968,20.1716208061686,3.04539716315904E-29,7.59667390126398E-27
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",42,167,61,3911,16.0927394965005,3.90489808107971E-29,9.57558311562282E-27
Thalidomide,37,114,66,3964,19.4459960897471,8.90813005053925E-29,2.14804233811896E-26
Pioglitazone,46,232,57,3846,13.3566868471898,3.03973576361908E-28,7.20963929181867E-26
Dasatinib,37,119,66,3959,18.6074858057646,3.24848047537934E-28,7.58046959431677E-26
Cerivastatin,49,282,54,3796,12.1974500636664,5.52945431847006E-28,1.26984076187469E-25
Lupeol,25,27,78,4051,47.8420391178825,8.05147990913504E-28,1.82013364805684E-25
Plicamycin,34,95,69,3983,20.6046657702717,1.69988290449676E-27,3.78366944973545E-25
Colforsin,51,332,52,3746,11.0525865061127,5.1371966687593E-27,1.12613328612416E-24
Tacrolimus,43,207,60,3871,13.376513621688,6.37640717532704E-27,1.37692022100498E-24
Zoledronic acid,36,124,67,3954,17.0967241607894,1.55859588424114E-26,3.31613460867028E-24
Testosterone,47,280,56,3798,11.3690480756055,4.36316090458537E-26,9.14870612126463E-24
Lapatinib,34,107,69,3971,18.2442631463035,4.47264213926124E-26,9.24429189055217E-24
Erlotinib,35,124,68,3954,16.3754422068046,2.07955244981933E-25,4.23759130225902E-23
Everolimus,29,66,74,4012,23.7624046411142,2.14485849348374E-25,4.25092383484121E-23
Camptothecin,29,66,74,4012,23.7624046411142,2.14485849348374E-25,4.25092383484121E-23
Morphine,42,218,61,3860,12.1762491782917,4.34392629201215E-25,8.49294411864968E-23
Lovastatin,43,233,60,3845,11.809152082017,4.45157552508852E-25,8.58736695129005E-23
ATP,52,391,51,3687,9.60420836845334,6.58579874545298E-25,1.25372533339634E-22
Arecoline,32,98,71,3980,18.260251326389,8.57174672580496E-25,1.61059424828056E-22
Arachidonic Acid,47,304,56,3774,10.4066743877754,1.10772924776692E-24,2.05469118993764E-22
Andrographolide,31,90,72,3988,19.0302401032101,1.4115396775053E-24,2.58507732270867E-22
Oxygen,37,160,66,3918,13.6991197402316,2.65535604027932E-24,4.80220076907834E-22
Azacitidine,29,75,74,4003,20.8474903925767,4.00309357897671E-24,7.15020119765734E-22
Panobinostat,30,86,73,3992,19.0275591653616,6.72801447382452E-24,1.18708168221614E-21
L-Alanine,36,153,67,3925,13.7638277752202,7.86792397182052E-24,1.37148038618042E-21
Histamine,41,225,62,3853,11.3079040564048,1.30890136405144E-23,2.25442178778023E-21
Alvespimycin,27,64,76,4014,22.2263603926329,2.98427441193763E-23,5.07957489648518E-21
Chloroquine,37,183,66,3895,11.9129971995989,1.62325056466635E-22,2.73082990520639E-20
GW-501516,29,89,74,3989,17.523209805037,2.13620542282314E-22,3.55247720059069E-20
Ciglitazone,30,100,73,3978,16.3127656029137,2.60487828778212E-22,4.28264723250613E-20
Adenosine,39,217,64,3861,10.8270816500307,3.62491900591924E-22,5.89272045945175E-20
Aminacrine,21,28,82,4050,36.8792679717409,4.50548694035334E-22,7.24280452935627E-20
nocodazole,28,83,75,3995,17.925579157911,5.90195688460234E-22,9.38344210939154E-20
Selenium,32,126,71,3952,14.109025254893,6.03903752356302E-22,9.4970219010783E-20
Beta-Mercaptoethanol,27,74,76,4004,19.1721061971414,6.66227230383004E-22,1.03644669173812E-19
Belinostat,22,36,81,4042,30.3558705292386,1.10478361874893E-21,1.70042276757612E-19
Capsaicin,40,241,63,3837,10.0956817875411,1.22847956380289E-21,1.87090557756599E-19
Dexamethasone,34,155,69,3923,12.449405975983,1.37399352886519E-21,2.07071816388479E-19
Entinostat,28,87,75,3991,17.0864304493602,1.70633666187415E-21,2.5450746575602E-19
3-isobutyl-1-methyl-7H-xanthine,27,78,76,4000,18.1730797838198,2.07684217241742E-21,3.06609041218216E-19
Dihydrotestosterone,30,111,73,3967,14.656287062082,3.33644961990512E-21,4.83332481556652E-19
Icosapent,37,202,66,3876,10.7415718638694,3.34070743311241E-21,4.83332481556652E-19
7-ethyl-10-hydroxycamptothecin,25,64,78,4014,20.0465533263801,7.16356180563822E-21,1.02616022564299E-18
Hydralazine,26,74,77,4004,18.2241370527513,9.46444425073359E-21,1.34246349332855E-18
Norepinephrine,34,167,69,3911,11.5210964614222,1.1117471385329E-20,1.56162349480022E-18
Eflornithine,23,51,80,4027,22.6437619295507,2.39917920192887E-20,3.3376199864875E-18
Caffeine,36,203,67,3875,10.2424842285068,3.5392428181784E-20,4.87672873796929E-18
Fludarabine,26,79,77,3999,17.0522391497048,3.70052042055136E-20,5.00364588176379E-18
