drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Tretinoin,47,231,22,1262,11.6422701187405,3.11870935838967E-21,4.69918172288849E-17
Testosterone,38,132,31,1361,12.5964850805166,1.12547234343918E-20,8.47914707357776E-17
Progesterone,42,183,27,1310,11.107684149749,4.94326221249862E-20,2.48278852681259E-16
Calcitriol,41,178,28,1315,10.7880331400304,1.77008489004414E-19,6.42335621274674E-16
LY-294002,41,179,28,1314,10.7197760308952,2.13149674925213E-19,6.42335621274674E-16
Nicotine,41,182,28,1311,10.5203423368229,3.69859757532855E-19,9.28823439924408E-16
ATP,43,219,26,1274,9.59820974387325,2.79162528464846E-18,6.00905833025521E-15
Cyclic Adenosine Monophosphate,41,202,28,1291,9.33456322032616,1.16708217127899E-17,2.12737423134846E-14
Hydrogen peroxide,48,302,21,1191,8.99680884268698,1.27068840573008E-17,2.12737423134846E-14
Simvastatin,39,187,30,1306,9.05669459981597,5.97705553962586E-17,9.00605568548456E-14
Dinoprostone,29,87,40,1406,11.6737913637465,1.22284407633308E-16,1.67504213299252E-13
Estradiol,46,291,23,1202,8.24707110572943,1.746150982025E-16,2.19254180634638E-13
Acetylsalicylic acid,35,148,34,1345,9.32980654656319,2.1717982505497E-16,2.51723327036155E-13
Epigallocatechin Gallate,41,222,28,1271,8.36495521466557,2.62126479571993E-16,2.82117609822929E-13
Sorafenib,31,112,38,1381,10.0281575261388,6.16849472298937E-16,6.1963405004975E-13
Melatonin,32,123,37,1370,9.60494357078629,7.82451119421787E-16,7.3685930157881E-13
Genistein,38,191,31,1302,8.33671760669629,8.49850203845483E-16,7.53252875237622E-13
Quercetin,38,192,31,1301,8.28705035157027,9.95148917963031E-16,8.33034343778593E-13
Cerivastatin,35,168,34,1325,8.09907706049208,7.26082555449594E-15,5.57665958356178E-12
Resveratrol,43,275,26,1218,7.31158144179834,7.40213145922652E-15,5.57665958356178E-12
Ethanol,43,276,26,1217,7.27910635810794,8.38217989402017E-15,6.01429905305771E-12
Dinoprost,27,88,42,1405,10.2296282828407,1.16352361276276E-14,7.9689271585368E-12
Indomethacin,31,132,38,1361,8.38922512499277,3.34774993257578E-14,2.19317108013194E-11
Cholecalciferol,27,94,42,1399,9.53795413824271,4.63544857057913E-14,2.90555203432879E-11
Morphine,31,134,38,1359,8.25220182965842,4.82082458984976E-14,2.90555203432879E-11
Icosapent,25,77,44,1416,10.4122528429988,5.32081079347922E-14,3.08355574723727E-11
Paclitaxel,34,169,35,1324,7.59300928837532,5.74316067420073E-14,3.13620951651349E-11
Apigenin,26,86,43,1407,9.86015318343807,5.82794927462943E-14,3.13620951651349E-11
Histamine,30,125,39,1368,8.39602941923336,6.43792342472977E-14,3.34499247697051E-11
Colforsin,33,160,36,1333,7.61878137946403,8.94932741334048E-14,4.49486320356456E-11
Sunitinib,24,72,45,1421,10.4885394733738,1.23344818977271E-13,5.99523974186417E-11
Troglitazone,32,151,37,1342,7.66700760078865,1.34884350433203E-13,6.35124583421703E-11
Capsaicin,28,110,41,1383,8.56239140320653,1.79704568251777E-13,8.20526315493414E-11
Imatinib,28,112,41,1381,8.39769315680865,2.65974180985994E-13,1.17871252874994E-10
nocodazole,25,85,44,1408,9.38220639776984,3.58348272026514E-13,1.54271110882608E-10
Staurosporine,26,95,43,1398,8.87197310088754,4.32135839004558E-13,1.79987609775088E-10
Bortezomib,29,125,40,1368,7.91409760422094,4.41974280114125E-13,1.79987609775088E-10
Lithium,29,126,40,1367,7.84571260166301,5.28881076385062E-13,2.09711268865666E-10
Emodin,23,70,46,1423,10.128892599875,6.0194934550834E-13,2.32564100464125E-10
Palmitic Acid,32,161,37,1332,7.13929814799198,6.67161608580745E-13,2.51314989389899E-10
Sirolimus,35,201,34,1292,6.6042165230444,9.90066501995596E-13,3.63854580570293E-10
