drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Epigallocatechin Gallate,50,357,4,1115,38.9447953610293,2.09043300842545E-25,1.63590163946546E-21
Aldosterone,40,200,14,1272,18.1109833009869,1.76297880556319E-22,6.89823569265203E-19
Berberine,38,193,16,1279,15.688786235981,1.0602828652708E-20,2.7658041350009E-17
Zinc,34,146,20,1326,15.3868350905647,6.12997996616999E-20,1.19927835957072E-16
Hydrogen peroxide,50,506,4,966,23.8225934058447,1.69720335516899E-18,2.65634702479034E-15
Acetylsalicylic acid,39,253,15,1219,12.4958598085442,6.32153413826482E-18,8.24502867670911E-15
Erlotinib,27,96,27,1376,14.2702995522554,5.872787714347E-17,6.56549078001052E-14
Simvastatin,41,319,13,1153,11.3717875836241,1.58854566400563E-16,1.55392713234443E-13
Tanespimycin,30,138,24,1334,12.0431548966308,2.2201137032511E-16,1.93042814697559E-13
Zinc sulfate,27,103,27,1369,13.2390784819726,2.7474531803504E-16,2.10679970048053E-13
AZD-5363,18,27,36,1445,26.5364355647782,3.13871435848996E-16,2.10679970048053E-13
Resveratrol,47,473,7,999,14.1596025703802,3.23060276714272E-16,2.10679970048053E-13
Ethanol,48,508,6,964,15.1577730307774,5.14025131246642E-16,3.09429655351719E-13
LY-294002,41,333,13,1139,10.7630666728093,7.14568690439026E-16,3.99426505516322E-13
Genistein,43,380,11,1092,11.2121251308507,8.70253894721129E-16,4.54020695676446E-13
Lapatinib,28,121,26,1351,11.9822599190034,9.80730339569886E-16,4.79678840433261E-13
Doxorubicin,42,360,12,1112,10.7893702120331,1.18375467999522E-15,5.44921220774961E-13
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",31,162,23,1310,10.8670176309102,1.28889415794664E-15,5.60358137812725E-13
Alvespimycin,21,52,33,1420,17.2805559970712,1.51447459142595E-15,6.23776951840487E-13
Cisplatin,37,263,17,1209,9.98267340758628,2.09554739384884E-15,7.83996531704207E-13
Geldanamycin,27,113,27,1359,11.9835457706642,2.10383900629394E-15,7.83996531704207E-13
Colforsin,38,290,16,1182,9.66028068412048,5.20290962843558E-15,1.85073626478411E-12
Metformin,37,278,17,1194,9.32601311382607,1.16667415921043E-14,3.96956279035493E-12
Thalidomide,28,136,26,1336,10.546345640363,1.42132922500951E-14,4.63451591138003E-12
Bortezomib,36,272,18,1200,8.80449000755968,4.8622408440708E-14,1.52200960016079E-11
Afimoxifene,28,144,26,1328,9.90253487867387,5.24671995475942E-14,1.57919394270744E-11
Cyclic Adenosine Monophosphate,38,313,16,1159,8.77759568228532,5.88648942745277E-14,1.70613557029212E-11
Tretinoin,43,428,11,1044,9.51955348951601,6.94314378939715E-14,1.94052419186766E-11
AEE-788,16,27,38,1445,22.3687682389276,7.6322972166805E-14,2.05957783656865E-11
Butyric Acid,32,215,22,1257,8.48442191555725,2.35157411840171E-13,6.13420591190575E-11
Estradiol,45,497,9,975,9.79441531024866,2.54608219069247E-13,6.42734568694019E-11
Morphine,33,235,21,1237,8.25396958186388,3.36036939639633E-13,8.21784557107579E-11
Buparlisib,14,19,40,1453,26.5394500311631,4.10973806579297E-13,9.74588172171622E-11
N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,15,26,39,1446,21.2381388478891,7.14940783524351E-13,1.64555380909441E-10
Dasatinib,28,162,26,1310,8.68450567930165,7.67255367889777E-13,1.71075341445469E-10
Kaempherol,27,148,27,1324,8.92160570824043,7.86989581407613E-13,1.71075341445469E-10
Isoprenaline,31,209,23,1263,8.12625716741307,8.39298777018995E-13,1.7751530357235E-10
Imatinib,30,194,24,1278,8.21548896380725,9.62082785703092E-13,1.98129790648726E-10
Nitric Oxide,29,180,25,1292,8.30592547413838,1.17158787790179E-12,2.35088397587483E-10
Apigenin,33,247,21,1225,7.77644631618822,1.28635296889637E-12,2.51664000026227E-10
Fluconazole,17,42,37,1430,15.5589838414859,1.42546859452633E-12,2.67176223298337E-10
Sorafenib,33,248,21,1224,7.73899573677728,1.43392409889235E-12,2.67176223298337E-10
Emodin,23,102,31,1370,9.93274618002694,1.84366699184481E-12,3.3553278223477E-10
Propofol,23,104,31,1368,9.72819275218682,2.63938093826416E-12,4.6942945081425E-10
Progesterone,37,333,17,1139,7.43177873307405,2.9328952853913E-12,5.10040868876255E-10
Troglitazone,35,294,19,1178,7.3676004858305,3.41591181839835E-12,5.81125258599387E-10
Calcitriol,39,380,15,1092,7.46093162530544,3.90534085910858E-12,6.50252484933863E-10
Selenium,24,119,30,1353,9.06896984295773,4.18671806376766E-12,6.82579769049061E-10
nocodazole,26,146,28,1326,8.41193376971934,4.4494905819445E-12,7.10616267348609E-10
