drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Sunitinib,123,341,553,5082,3.31402574876421,2.38913247372239E-22,3.84430099343281E-18
Celecoxib,201,835,475,4588,2.32479696215083,1.45769162562865E-18,1.17276991254317E-14
Imatinib,227,1011,449,4412,2.20596281871215,4.92055766446058E-18,2.63918736553732E-14
Everolimus,114,353,562,5070,2.91272253724753,1.23462633920772E-17,4.17751016633513E-14
Lapatinib,166,641,510,4782,2.42772831223613,1.29810662780392E-17,4.17751016633513E-14
Erlotinib,160,621,516,4802,2.39725988569395,9.36467802529245E-17,2.43778468104995E-13
Dactolisib,93,260,583,5163,3.16662822363265,1.06051357288937E-16,2.43778468104995E-13
Vitamin E,166,662,510,4761,2.34046253844798,1.84989251247932E-16,3.72077715535171E-13
Selenium,147,559,529,4864,2.41735228210012,5.65256507103258E-16,1.01060214008501E-12
Temsirolimus,109,351,567,5072,2.77725960380271,7.29711248735011E-16,1.17416246662136E-12
Etoposide,195,856,481,4567,2.16262667045751,1.04290123830016E-15,1.52555423000011E-12
Dasatinib,181,769,495,4654,2.21260808849007,1.14617508834733E-15,1.53690446192114E-12
Dihydrotestosterone,139,524,537,4899,2.41938176836262,2.44690018036678E-15,3.02865673167225E-12
Zinc sulfate,141,541,535,4882,2.37778391330073,4.99750096388764E-15,5.74383563055467E-12
Buparlisib,51,94,625,5329,4.62422701880665,6.62879664241385E-15,7.11083480384036E-12
Salicylic acid,122,438,554,4985,2.50584942924428,9.67443986717053E-15,9.72933146270961E-12
Emodin,169,716,507,4707,2.19099578827115,1.20942410970279E-14,1.14473998593257E-11
Melatonin,242,1201,434,4222,1.96001203637872,2.78602349858915E-14,2.4905164952723E-11
Alvespimycin,116,417,560,5006,2.48621827413036,5.49802932545801E-14,4.65618903189263E-11
K-252a,79,226,597,5197,3.04208858355662,7.71799456509439E-14,6.20942842229119E-11
Fludarabine,131,510,545,4913,2.31511161230581,1.54133626106041E-13,1.18101456426836E-10
GW-501516,83,250,593,5173,2.89548543278664,1.73435250937702E-13,1.2685040106501E-10
Saracatinib,85,261,591,5162,2.84384557304213,2.06341443534342E-13,1.44356312902206E-10
Apitolisib,46,86,630,5337,4.52954144750077,2.19665590469937E-13,1.47274630881474E-10
Ciglitazone,108,386,568,5037,2.48072335842826,3.54528930402418E-13,2.26025784930935E-10
Tanespimycin,197,928,479,4495,1.99187722267162,3.65219688406008E-13,2.26025784930935E-10
Deoxycholic Acid,143,593,533,4830,2.18490232601753,6.35353722724271E-13,3.66084250543734E-10
"3,7,3',4'-TETRAHYDROXYFLAVONE",116,435,560,4988,2.37473428850073,6.370329907159E-13,3.66084250543734E-10
Myricetin,122,472,554,4951,2.30952284829457,9.00222101226874E-13,4.99492332124516E-10
Eflornithine,116,438,560,4985,2.35707649336201,9.4300085268129E-13,5.05787373261119E-10
Isoflavone,70,196,606,5227,3.07957876837499,1.01810075109451E-12,5.14605358298837E-10
Aminacrine,78,235,598,5188,2.8788637907064,1.02340404646864E-12,5.14605358298837E-10
"3,3'-diindolylmethane",84,269,592,5154,2.71801327266787,1.90872466598621E-12,9.3069310917267E-10
AZD-5363,73,218,603,5205,2.8897799004154,4.15518702115054E-12,1.96647672804702E-9
Bosutinib,86,286,590,5137,2.61755945402703,5.49361089640001E-12,2.52561416077039E-9
Fluconazole,78,245,598,5178,2.75606385185457,5.83301828597769E-12,2.56895099139254E-9
Geldanamycin,147,638,529,4785,2.08381790150261,5.90718253213301E-12,2.56895099139254E-9
Ponatinib,135,566,541,4857,2.14102089885201,6.76514369742228E-12,2.86464349482994E-9
Vandetanib,100,365,576,5058,2.40525948033743,8.88352599040595E-12,3.66520206636782E-9
Gentamicin,112,434,564,4989,2.28237295955542,1.03638975900539E-11,4.16908043395398E-9
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",198,975,478,4448,1.88956623873553,1.28545613659369E-11,5.04487671578723E-9
Rilmenidine,51,122,625,5301,3.54445621091261,1.61985576688439E-11,6.20589192973504E-9
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",40,77,636,5346,4.36509140051375,1.70795993817259E-11,6.39125840074191E-9
Cisplatin,259,1402,417,4021,1.78107854345185,1.80853983911749E-11,6.61382281553904E-9
Afimoxifene,191,933,485,4490,1.89504508690119,1.90731128138105E-11,6.82002891979048E-9
Quercetin,283,1580,393,3843,1.75122506031504,2.46012911789022E-11,8.60552205700943E-9
Indole-3-carbinol,150,672,526,4751,2.01587685033473,2.77384493341862E-11,9.49645410149026E-9
Vemurafenib,62,175,614,5248,3.02729882032625,2.93565900827143E-11,9.84105193517373E-9
Lenalidomide,76,245,600,5178,2.67646510398845,3.17866158771303E-11,1.04381940476212E-8
Berberine,208,1057,468,4366,1.83569455586545,4.19118140905153E-11,1.34878773209007E-8
7-ethyl-10-hydroxycamptothecin,86,300,590,5123,2.48866897834826,4.50973923690498E-11,1.42284767028025E-8
Pyrroloquinoline Quinone,54,140,622,5283,3.27544712973064,4.68940308591466E-11,1.45108005811164E-8
Lithium,229,1205,447,4218,1.79300259683742,5.37353554323546E-11,1.62099685331641E-8
Regorafenib,79,264,597,5159,2.5853665765033,5.4399984899335E-11,1.62099685331641E-8
Tauroursodeoxycholic acid,50,123,626,5300,3.44058552306531,5.75094793015669E-11,1.68249545003145E-8
Equol,93,344,583,5079,2.35476750056106,9.84168157405613E-11,2.82786345105885E-8
Lipoic Acid,49,121,627,5302,3.42333608760398,1.00417670764351E-10,2.83473483281348E-8
Troglitazone,246,1335,430,4088,1.75160258865059,1.12698978171116E-10,3.12395417759901E-8
"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE",87,312,589,5111,2.41907507005123,1.14545890841397E-10,3.12395417759901E-8
Gefitinib,228,1210,448,4213,1.77174148479223,1.29909592917603E-10,3.48391157740676E-8
Amlodipine,64,193,612,5230,2.83314655034795,1.37035274820238E-10,3.61476187037712E-8
Dihydrogenphosphate Ion,83,292,593,5131,2.45912974004171,1.46517174750932E-10,3.80254181641731E-8
Tocotrienol,75,250,601,5173,2.58164788038896,1.5988481046176E-10,4.0836057761706E-8
Cyclic Adenosine Monophosphate,263,1465,413,3958,1.72022685355134,1.94961133441535E-10,4.9016829802081E-8
Semapimod,70,227,606,5196,2.64346282113555,2.55615580174811E-10,6.32777629286623E-8
N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,68,218,608,5205,2.66976315537098,3.13961924667277E-10,7.65438318678214E-8
