drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Resveratrol,66,150,388,2221,2.51759279761658,2.08537353261359E-8,1.82325719108492E-4
Sunitinib,18,12,436,2359,8.10634113960672,4.92343326148378E-8,2.15229668892378E-4
Genistein,41,80,413,2291,2.84154491975283,6.39871189755603E-7,0.00186481339329141
Simvastatin,39,77,415,2294,2.79851146072685,1.53193148787042E-6,0.00334844700221235
Tanespimycin,15,12,439,2359,6.70987850502588,2.64191189674561E-6,0.00461968543152773
Regorafenib,12,7,442,2364,9.15523809295245,4.42584380667208E-6,0.00644924551959456
Epigallocatechin Gallate,42,93,412,2278,2.49597756004653,5.95823478524908E-6,0.00744189692670873
Doxorubicin,34,67,420,2304,2.78263397806568,7.2010797508796E-6,0.00786994526042551
Selenium,14,12,440,2359,6.24863325156975,9.43643249959339E-6,0.00916704590541797
Celecoxib,23,36,431,2335,3.45912985827236,1.57837612376842E-5,0.0137998568260853
Indole-3-carbinol,13,11,441,2360,6.31805976151068,1.83251197551334E-5,0.0145652590851608
Hydrogen peroxide,59,165,395,2206,1.99644110448287,2.84525828932325E-5,0.0207302495027553
GW-501516,9,5,445,2366,9.55679044013346,6.23113472509581E-5,0.0381711011461096
Bexarotene,10,7,444,2364,7.5984741974787,6.98303160010463E-5,0.0381711011461096
"6-[4-(2-piperidin-1-ylethoxy)phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine",10,7,444,2364,7.5984741974787,6.98303160010463E-5,0.0381711011461096
Sorafenib,23,41,431,2330,3.03102414026491,7.24917172630942E-5,0.0381711011461096
Sirolimus,37,88,417,2283,2.30105294796663,7.42197576573712E-5,0.0381711011461096
Cisplatin,34,78,420,2293,2.37902735642812,8.38635138825455E-5,0.0407347099438309
Cyclic Adenosine Monophosphate,36,86,418,2285,2.28745753755142,1.00031924696303E-4,0.0460308613877262
Gefitinib,17,25,437,2346,3.64815281648372,1.19714541636469E-4,0.052333645628122
Nicotine,35,84,419,2287,2.27342905269488,1.34705657704956E-4,0.0560829203176425
Vorinostat,16,23,438,2348,3.72673255846106,1.57316131718209E-4,0.062519379064607
Etoposide,19,32,435,2339,3.19078343694989,1.79140076870875E-4,0.0680971597108181
Ponatinib,20,37,434,2334,2.90547369997333,3.11908182886791E-4,0.113626493549942
Butyric Acid,28,64,426,2307,2.36835032974538,3.41722077831527E-4,0.119508035565782
Metformin,31,76,423,2295,2.21226749892092,4.39115612889625E-4,0.14277941593757
Erlotinib,12,15,442,2356,4.26112884247934,4.40925572336214E-4,0.14277941593757
7-Hydroxystaurosporine,7,4,447,2367,9.25386447408729,4.84409063371019E-4,0.146042191152897
Alvespimycin,7,4,447,2367,9.25386447408729,4.84409063371019E-4,0.146042191152897
Melatonin,24,53,430,2318,2.44007146957365,6.15393243094004E-4,0.179347590614457
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",4,0,450,2371,Inf,6.59656732840383E-4,0.186046019897119
Geldanamycin,10,11,444,2360,4.8282312143854,6.86641084997055E-4,0.187604773847489
Apigenin,16,28,438,2343,3.05509043850682,7.93378285797686E-4,0.206593817342483
Ethanol,50,154,404,2217,1.78124357559196,8.03400614406069E-4,0.206593817342483
Semaxanib,8,7,446,2364,6.05170944388624,9.4591346372244E-4,0.229727498842125
Lycopene,8,7,446,2364,6.05170944388624,9.4591346372244E-4,0.229727498842125
Valproic Acid,16,29,438,2342,2.94854701175657,0.00105270835994924,0.248681294501366
Emodin,10,12,444,2359,4.4242317998553,0.00108084305941635,0.248681294501366
Decitabine,27,67,427,2304,2.1736791222119,0.00118370383394017,0.265364317857731
Panobinostat,9,10,445,2361,4.77127778406276,0.00134686338259602,0.294393103839947
Dasatinib,13,21,441,2350,3.29683155430789,0.00143838985306188,0.30673040773868
Testosterone,26,65,428,2306,2.15441803037361,0.00158404540880165,0.329748185617901
"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE",5,2,449,2369,13.1709512552931,0.00166330906329299,0.338196085371109
Calcitriol,37,108,417,2263,1.8586317147875,0.00182007561735185,0.348734197808657
Alvocidib,11,16,443,2355,3.65238332956648,0.00183186005140735,0.348734197808657
Phenylbutyric acid,7,6,447,2365,6.16649114474405,0.00187468505652508,0.348734197808657
Hydrofluoric acid,7,6,447,2365,6.16649114474405,0.00187468505652508,0.348734197808657
Afimoxifene,12,19,442,2352,3.35877632005961,0.0019314482169205,0.35049330916471
Tofacitinib,6,4,448,2367,7.91418921356906,0.00196431771772748,0.35049330916471
Quercetin,31,86,423,2285,1.946714299636,0.00224627193476811,0.392786366005643
Ciglitazone,10,14,444,2357,3.78927151768042,0.00241849113928484,0.406635447790813
Silibinin A,10,14,444,2357,3.78927151768042,0.00241849113928484,0.406635447790813
Acetylsalicylic acid,25,64,429,2307,2.09996926596396,0.00251323210524555,0.41459189463883
Berberine,17,36,437,2335,2.52216989789681,0.00269956737613962,0.43708357762864
AEE-788,4,1,450,2370,21.0275291539071,0.00287737543339274,0.457401853113697
Troglitazone,24,62,430,2309,2.07797979324046,0.00334925284434883,0.522906434277247
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",18,41,436,2330,2.34525184429257,0.00378444188525646,0.580485081401161
Temsirolimus,5,3,449,2368,8.77785171570107,0.00385185294629395,0.580638438472668
Ginsenoside Rg1,3,0,451,2371,Inf,0.00412760820415867,0.588023640212426
AZD-1480,3,0,451,2371,Inf,0.00412760820415867,0.588023640212426
Lupeol,3,0,451,2371,Inf,0.00412760820415867,0.588023640212426
Estradiol,53,182,401,2189,1.58936626604632,0.00416986886954031,0.588023640212426
Imatinib,15,32,439,2339,2.49632557793536,0.00499701580989237,0.693480497322578
Pazopanib,7,8,447,2363,4.62199950461507,0.00524093702668301,0.715967065708001
Telmisartan,8,11,446,2360,3.84572037687067,0.00612309005083179,0.823609538770432
Lithium,14,30,440,2341,2.48178287611949,0.00680833098947926,0.901905018215191
K-252a,5,4,449,2367,6.5827890991571,0.00753127922598601,0.969059520216714
Physostigmine,4,2,450,2369,10.5132116596985,0.00753694397976603,0.969059520216714
Vitamin E,14,31,440,2340,2.40091349912867,0.00847044319273957,1
Tretinoin,50,177,404,2194,1.53383067733861,0.0087221158247477,1
Lapatinib,8,12,446,2359,3.52392906979399,0.00880113588999464,1
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",13,28,441,2343,2.4656778344894,0.00928789898060641,1
Fluconazole,6,7,448,2364,4.5195123479999,0.0104230874803265,1
Nandrolone,6,7,448,2364,4.5195123479999,0.0104230874803265,1
Fluorouracil,17,43,437,2328,2.105444092153,0.0108571903246955,1
Propranolol,11,22,443,2349,2.64998402882434,0.0109045235607759,1
Anisomycin,10,19,444,2352,2.78648963017876,0.0116029950154019,1
Paclitaxel,20,55,434,2316,1.94004880244925,0.0121696140178778,1
LY-294002,25,75,429,2296,1.78355749698694,0.0127538997552735,1
Bepridil,5,5,449,2366,5.26488140071682,0.0130982407342445,1
Edaravone,5,5,449,2366,5.26488140071682,0.0130982407342445,1
Aldosterone,18,48,436,2323,1.99745323724267,0.0134124538504006,1
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",15,37,439,2334,2.15466590716434,0.0137451317063663,1
Quinolinic Acid,3,1,451,2370,15.7433307482505,0.0145314626181135,1
Cediranib,3,1,451,2370,15.7433307482505,0.0145314626181135,1
Netoglitazone,3,1,451,2370,15.7433307482505,0.0145314626181135,1
Buparlisib,3,1,451,2370,15.7433307482505,0.0145314626181135,1
Daporinad,3,1,451,2370,15.7433307482505,0.0145314626181135,1
Pravastatin,10,20,444,2351,2.64627162109988,0.0149770073417302,1
Medroxyprogesterone acetate,10,20,444,2351,2.64627162109988,0.0149770073417302,1
Phenethyl Isothiocyanate,10,20,444,2351,2.64627162109988,0.0149770073417302,1
"3,4-Dihydroxycinnamic Acid",4,3,450,2368,7.00870347747621,0.0153684572017301,1
Glycerin,4,3,450,2368,7.00870347747621,0.0153684572017301,1
Caffeine,14,34,440,2337,2.18627495248639,0.0154314918304777,1
Bicalutamide,6,8,448,2363,3.9531505464509,0.0158129585675953,1
Probucol,6,8,448,2363,3.9531505464509,0.0158129585675953,1
Cilostazol,7,11,447,2360,3.35774557927081,0.016740676239021,1
Deoxycholic Acid,7,11,447,2360,3.35774557927081,0.016740676239021,1
ATP,39,137,415,2234,1.5321605766738,0.0178737926972854,1
Thalidomide,10,21,444,2350,2.51945927274746,0.019031340579245,1
Palmitic Acid,26,83,428,2288,1.67422604586039,0.020464790499651,1
Bortezomib,17,47,437,2324,1.92312481625485,0.0207890503810041,1
